,Gross domestic product 2022,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
IMN,158,,Isle of Man,"6,684",
MDV,159,,Maldives,"6,190",
GUM,160,,Guam,"6,123",
MNE,161,,Montenegro,"6,096",
PYF,162,,French Polynesia,"6,080",
CYM,163,,Cayman Islands,"6,028",
BRB,164,,Barbados,"5,638",
FJI,165,,Fiji,"4,943",
SWZ,166,,Eswatini,"4,854",
VIR,167,,Virgin Islands (U.S.),"4,204",
LBR,168,,Liberia,"4,001",
SLE,169,,Sierra Leone,"3,970",
FRO,170,,Faroe Islands,"3,650",
SUR,171,,Suriname,"3,621",
DJI,172,,Djibouti,"3,515",
AND,173,,Andorra,"3,352",
GRL,174,,Greenland,"3,236",
TLS,175,,Timor-Leste,"3,163",
ABW,176,,Aruba,"3,126",
BDI,177,,Burundi,"3,073",
BLZ,178,,Belize,"2,824",
CUW,179,,Curaçao,"2,700",
LSO,180,,Lesotho,"2,553",
BTN,181,,Bhutan,"2,540",
CAF,182,,Central African Republic,"2,383",
CPV,183,,Cabo Verde,"2,315",
GMB,184,,"Gambia, The","2,273",
LCA,185,,St. Lucia,"2,065",
SMR,186,,San Marino,"1,855",
ATG,187,,Antigua and Barbuda,"1,758",
GNB,188,,Guinea-Bissau,"1,634",
SLB,189,,Solomon Islands,"1,596",
SYC,190,,Seychelles,"1,588",
SXM,191,,Sint Maarten (Dutch part),"1,572",
GRD,192,,Grenada,"1,256",
COM,193,,Comoros,"1,243",
TCA,194,,Turks and Caicos Islands,"1,139",
VUT,195,,Vanuatu,984,
KNA,196,,St. Kitts and Nevis,962,
VCT,197,,St. Vincent and the Grenadines,949,
MNP,198,,Northern Mariana Islands,858,
WSM,199,,Samoa,832,
ASM,200,,American Samoa,709,
DMA,201,,Dominica,612,
STP,202,,São Tomé and Principe,547,
TON,203,,Tonga,469,
FSM,204,,"Micronesia, Fed. Sts.",427,
MHL,205,,Marshall Islands,280,
KIR,206,,Kiribati,223,
PLW,207,,Palau,218,
NRU,208,,Nauru,151,
TUV,209,,Tuvalu,60,
VGB,,,British Virgin Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World,"10,10,02,997",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific,"3,06,55,246",
ECS,,,Europe & Central Asia,"2,51,92,038",
LCN,,,Latin America & Caribbean,"67,48,778",
MEA,,,Middle East & North Africa,"44,14,423",
NAC,,,North America,"2,76,10,091",
SAS,,,South Asia,"43,61,631",
SSF,,,Sub-Saharan Africa,"20,47,347",
LIC,,,Low income,"5,21,634",
LMC,,,Lower middle income,"81,09,650",
UMC,,,Upper middle income,"3,04,95,972",
HIC,,,High income,"6,15,35,769",
